College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
3410,Krishnasamy College of Engineering and Technology S Kumarapuram Cuddalore District 607109,CS,COMPUTER SCIENCE AND ENGINEERING,147.0,121.5,128.5,134,,,118.5,100.5,
2618,Sona College of Technology (Autonomous) Suramangalam Post Salem District 636005,ME,MECHANICAL ENGINEERING,147.0,127.5,127.5,130.7575758,,,,,132.5
2610,Muthayammal Engineering College (Autonomous) Rasipuram Namakkal District 637408,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,147.0,119.5,,124,,,,,
2704,Coimbatore Institute of Engineering and Technolgoy (Autonomous) Narasipuram Post Coimbatore District 641109,MZ,Mechatronics Engineering,147.0,141,131,130,,,,,
2621,Er. Perumal Manimekalai College of Engineering (Autonomous) Near Koneripalli Hosur Krishnagiri District 635117,CS,COMPUTER SCIENCE AND ENGINEERING,147.0,128.5,135,134,,,91.5,115.5,
1122,Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous) Avadi-Alamathi Road Chennai 600 062,BT,BIO TECHNOLOGY,146.5,133.5,,119.5,,,114.5,,
2628,Paavai College of Engineering NH-7 Pachal Post Namakkal District 637018,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,146.5,131.5,98,127,,,108,,
3807,J J College of Engineering and Technology Poolankulathupatti Post Tiruchirappalli District 620009,IT,INFORMATION TECHNOLOGY,146.5,134,145,137.5,,,99.5,,
4023,University College of Engineering Nagercoil Nagercoil Industrial Estate Konam Kanyakumari District 629004,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,146.5,131,136,,,,,,
4917,Sethu Institute of Technology (Autonomous) Kariapatti Post Virudhunagar District 626115,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,146.5,138,136,112.5,,,,,
1501,Adhiparasakthi College of Engineering Kalavai Ranipet District 632506,CS,COMPUTER SCIENCE AND ENGINEERING,146.5,125.5,117,125,,,,,
1110,Prathyusha Engineering college (Autonomous) Aranvoyalkuppam Thiruvallur District 602025,SC,Computer Science and Engineering (Cyber Security),146.5,132,,121.5,,,85,,
1325,St. Joseph College of Engineering Trinity Campus Nemili Sriperumpudur Taluk Kancheepuram District 602105,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,146.5,113.5,127.5,123.5,,,100.5,,
2610,Muthayammal Engineering College (Autonomous) Rasipuram Namakkal District 637408,CS,COMPUTER SCIENCE AND ENGINEERING,146.5,123,,122.5,,,,,128.5
2776,R V S Technical Campus-Coimbatore Kumaran Kottam Campus Kannampalayam Sulur Coimbatore District 641 402,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,146.5,136.5,134.5,137.5,,,118,108,
4678,Ramco Institute of Technology North venganallur Village Krishnapuram Panchayat Rajapalayam Virudhunagar District 626117,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,146.5,138.5,139.5,128.5,,,,,
1408,I F E T College of Engineering (Autonomous) Gangarampalayam Villupuram District 605108,AL,Artificial Intelligence and Machine Learning,146.5,127.5,137.5,142.5,,,,,
2715,Nandha Engineering College (Autonomous) Pitchandampalayam Post Erode District 638052,CI,Computer Science and Engineering (Internet of Things),146.5,139.5,131.5,132.5,,,,,
2608,M Kumarasamy College of Engineering (Autonomous) Thalavapalayam Karur District 639113,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,146.5,137.5,,128,,,,108,
4981,Ponjesly College of Engineering Vettornimadam Post Nagercoil Kanyakumari District 629003,IT,INFORMATION TECHNOLOGY,146.5,144,139.5,97.5,,,,,
5907,Mohamed Sathak Engineering College Kilakarai Ramanathapuram District 623806,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,146.5,135.5,143,,,,98,95,
1120,Velammal Engineering College (Autonomous) Ambattur-Redhills Road Chennai 600066,ME,MECHANICAL ENGINEERING,146.5,122,139.5,124,,,105,,
5910,"P S N A Colllege of Engineering and Technology (Autonomous), Dindigul District 624622",ME,MECHANICAL ENGINEERING,146.0,131,143,113,,,,,
1216,Saveetha Engineering College (Autonomous) Thandalam Sriperumpudur Taluk Kancheepuram District 602105,CE,CIVIL ENGINEERING,146.0,130.5,145.5,131.5,,,113,,
4020,Anna University Regional Campus - Tirunelveli Trivandrum Road Palayamkottai Tirunelveli District 627007,GI,GEO INFORMATICS,146.0,127,161.5,,,,97.5,,
2729,Nehru Institute of Engineering and Technology Thirumalayampalayam Post Coimbatore District 641105,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,146.0,137,144.5,140.5,,,106.5,97.5,
3841,CARE College of Engineering Thayanoor Village Kuttappatti Srirangam Taluk Tiruchirappalli District 620009,CS,COMPUTER SCIENCE AND ENGINEERING,146.0,135.5,140,130.5,,,,112,
4864,V V College of Engineering Arasoor Village Idaichivilai Post Santhakulam Taluk Thoothukudi District 628656,CS,COMPUTER SCIENCE AND ENGINEERING,146.0,124,,,,,,,
2613,K S R College of Engineering (Autonomous) Tiruchengode Namakkal District 637215,CD,COMPUTER SCIENCE AND DESIGN,146.0,137,,137,,,,,
2750,KIT - Kalaignar Karunanidhi Institute of Technology (Autonomous) Kannampalayam Coimbatore District 641402,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,146.0,142,115.5,130.5,,,104,,108.5
1325,St. Joseph College of Engineering Trinity Campus Nemili Sriperumpudur Taluk Kancheepuram District 602105,CS,COMPUTER SCIENCE AND ENGINEERING,146.0,122,143,129.5,,,92,,78
2723,Velalar College of Engineering and Technology (Autonomous) Thindal Post Erode District 638012,BM,BIO MEDICAL ENGINEERING,146.0,129,103.5,126.5,,,102.5,93,
2630,Chettinad College of Engineering and Technology NH-67 Trichy Main Road Puliyur C F Karur District 639114,CS,COMPUTER SCIENCE AND ENGINEERING,146.0,130.5,116,139.5,,,119.5,121,
3829,M.A.M. College of Engineering and Technology Trichy-Chennai Trunk Road Siruganur Tiruchirappalli District 621105,CS,COMPUTER SCIENCE AND ENGINEERING,146.0,115,136,121,,,108,132,
3826,Kongunadu College of Engineering and Technology (Autonomous) Tholurpatti Thottiyam Tiruchirappalli District 621215,BM,BIO MEDICAL ENGINEERING,146.0,121.5,130,139.5,,,130,126,104
4962,National Engineering College (Autonomous) Kovilpatti Thoothukudi District 628503,ME,MECHANICAL ENGINEERING,146.0,134,118,129.5,,,,,
