College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST,Year
1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai-Bengaluru High Road, Pennalur, Irungattukottai S.O., Sriperumbudur Taluk, Kancheepuram District 602105",AU,AUTOMOBILE ENGINEERING,161.5,153.5,148.0,147.0,,,97.0,,,2022
3805,"Dhanalakshmi Srinivasan Engineering College (Autonomous), Thuraiyur Road, Perambalur District 621212",IT,INFORMATION TECHNOLOGY,161.5,131.0,124.0,131.5,,,107.0,,,2022
4959,"Kamaraj College of Engineering and Technology (Autonomous), Virudhunagar District 626001",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,161.5,150.0,136.0,125.0,,,,,,2022
2740,"Hindusthan Institute of Technology (Autonomous), Othakkalmandapam, Coimbatore District 641032",IT,INFORMATION TECHNOLOGY,161.0,151.5,137.0,146.5,,,102.0,,,2022
2608,"M Kumarasamy College of Engineering (Autonomous), Thalavapalayam, Karur District 639113",AL,Artificial Intelligence and Machine Learning,161.0,156.0,143.5,146.5,,,,,,2022
2708,"Hindusthan College of Engineering and Technology (Autonomous), Othakkalmandapam Post, Coimbatore District 641032",AL,Artificial Intelligence and Machine Learning,161.0,151.5,153.0,138.5,,,,,,2022
2764,"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",MZ,Mechatronics Engineering,161.0,153.0,149.5,144.0,,,94.5,125.0,,2022
2601,"Adhiyamaan College of Engineering (Autonomous), Hosur, Krishnagiri District 635109",IT,INFORMATION TECHNOLOGY,161.0,140.0,111.0,139.5,,,95.5,,,2022
4954,"Dr. Sivanthi Aditanar College of Engineering, Tiruchendur, Thoothukudi District 628215",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,161.0,144.0,143.5,,,,,,,2022
2740,"Hindusthan Institute of Technology (Autonomous), Othakkalmandapam, Coimbatore District 641032",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,160.81,153.5,156.5,137.0,,,,,,2022
